[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.451] [SEVERE ] removing player 3 token from slot 3
[17:43:19.453] [SEVERE ] removing player 3 token from slot 5
[17:43:19.454] [SEVERE ] player 4 placing token on slot 2
[17:43:19.450] [SEVERE ] removing player 1 token from slot 5
[17:43:19.454] [SEVERE ] removing player 4 token from slot 7
[17:43:19.454] [SEVERE ] removing player 4 token from slot 5
[17:43:19.455] [SEVERE ] placing card 5 in slot 3
[17:43:19.457] [SEVERE ] removing player 2 token from slot 4
[17:43:19.457] [SEVERE ] removing player 2 token from slot 7
[17:43:19.457] [SEVERE ] player 2 placing token on slot 1
[17:43:19.460] [SEVERE ] removing player 3 token from slot 5
[17:43:19.460] [SEVERE ] removing player 3 token from slot 9
[17:43:19.461] [SEVERE ] player 3 placing token on slot 2
[17:43:19.464] [SEVERE ] removing player 4 token from slot 0
[17:43:19.460] [SEVERE ] removing player 1 token from slot 7
[17:43:19.467] [SEVERE ] removing player 1 token from slot 5
[17:43:19.466] [SEVERE ] removing player 4 token from slot 10
[17:43:19.469] [SEVERE ] removing player 2 token from slot 7
[17:43:19.468] [SEVERE ] removing player 1 token from slot 8
[17:43:19.471] [SEVERE ] player 2 placing token on slot 2
[17:43:19.470] [SEVERE ] removing player 4 token from slot 8
[17:43:19.471] [SEVERE ] removing player 2 token from slot 9
[17:43:19.473] [SEVERE ] removing player 3 token from slot 8
[17:43:19.473] [SEVERE ] player 3 placing token on slot 0
[17:43:19.474] [SEVERE ] removing player 3 token from slot 8
[17:43:19.480] [SEVERE ] removing player 1 token from slot 4
[17:43:19.483] [SEVERE ] removing player 1 token from slot 10
[17:43:19.485] [SEVERE ] removing player 1 token from slot 1
[17:43:19.489] [SEVERE ] removing player 4 token from slot 10
[17:43:19.489] [SEVERE ] removing player 4 token from slot 7
[17:43:19.492] [SEVERE ] removing player 4 token from slot 9
